Heading,Content,Replies
allow communication between SSID,HiI have 2 SSID with their own network addresses along with DHCP They are both on the same router and broudcast from the same radio I want devices on each to be able to ping each other but also be able to enable and disable that ablility How would I do thisIm using a 1941w router thank you,
2911 AC DC power module interface connector pinout schematic,HiWe have a 2911 router and are integrating it into another form factor thus are deconstructing the casepower supplyetc We need to know what is on each of the pins for the interface connector from the AC or DC power supply module and the main board Please contact me directly at mlueker308systemscom ThanksMark,
COS to WAN ISP,Hi thereThanks for readingMy ISP is dropping packets from our BE COS queue I just found out were not marking properly and only 10 of our traffic is in the correct COS queue Based on legacy requests the ISP has COS2 set as highest priority The interface is the termination for IPSEC tunnels I need to mark those outgoing packets on those tunnels for COS2 I think i need a map and a policy and then attach that policy to tunnel interfaces ThanksBob Solved Go to Solution,Hi BobOK only a slight tweak required for IOSXE  ip accesslist extended IPSECACL permit udp any eq isakmp any eq isakmp permit esp any any  classmap IPSECCM match accessgroup IPSECACL  policymap IPSECPM class IPSECCM set cos 2 set dcsp cs2  int outboundinterface servicepolicy output IPSECPM  More information can be found herehttpswwwciscocomcenustddocsswitcheslancatalyst3850softwarerelease3seqosconfigurationguidebqos3se3850cgbqos3se3850cgchapter011htmld9712e7502a1635 cheersSeb RVCE Hi BobTry the following  ip accesslist extended IPSECACL permit udp any eq isakmp any eq isakmp permit esp any any  classmap matchall IPSECCM match accessgroup name IPSECACL  policymap type qos IPSECPM class IPSECCM set cos 2 set dscp cs2  int outboundinterface servicepolicy output IPSECPM httpswwwciscocomcenustddocssolutionsEnterpriseWANandMANQoSSRNDQoSSRNDBookIPSecQoShtml cheersSeb RVCE Hi SebThanks for writingMy IOS doesnt have type qos under policymap Heres what it DOES have None seem to lead to type QoS Im using IOSXE 031603S accesscontrol appnav control inspect packetservice performancemonitor service servicechain Thanks RVCE Hi BobOK only a slight tweak required for IOSXE  ip accesslist extended IPSECACL permit udp any eq isakmp any eq isakmp permit esp any any  classmap IPSECCM match accessgroup IPSECACL  policymap IPSECPM class IPSECCM set cos 2 set dcsp cs2  int outboundinterface servicepolicy output IPSECPM  More information can be found herehttpswwwciscocomcenustddocsswitcheslancatalyst3850softwarerelease3seqosconfigurationguidebqos3se3850cgbqos3se3850cgchapter011htmld9712e7502a1635 cheersSeb RVCE Thanks Seb I tried that and can confirm your recommendations worked including the IOSXE modification RVCE Most Cisco devices will copy a packets ToS to the tunnel packets ToS So if you tag your packets as they enter the tunnel the ToS should be copiedOr as an alternative you might tag your tunnel packets as they pass out the physical egress interface The difference with the latter the tunnel packets ToS can have a different marking from the original packetsEither of the above can be done by using a CBWFQ policy attached to an interface
Can ping from Router but not from Client PC,I configure routers about once or twice a year so I am a noobI just set up a basic config on a 2600 series router but I cant get to the internet through the router From the router I can ping 4222 and next hop but from client PC I can inside and outside interfaces but not next hop router or 4222 Here is a copy of my configThanks for any pointers version 123service timestamps debug datetime msecservice timestamps log datetime msecno service passwordencryptionhostname RouterLoanerbootstartmarkerbootendmarkerenable secret 5 enable password no networkclockparticipate slot 1no networkclockparticipate wic 0no aaa newmodelip subnetzeroip cefip dhcp excludedaddress 1721801 17218127255ip dhcp pool NETPOOL network 1721800 25525500 defaultrouter 1721801 dnsserver 1813144 181510 lease 10ip audit po maxevents 100interface FastEthernet00 ip address 118542 255255255192 duplex auto speed autointerface FastEthernet01 ip address 1721801 25525500 duplex auto speed autoip http serverip classlessip route 0000 0000 118541snmpserver community public ROline con 0line aux 0line vty 0 4 password  loginend,Do you have an access list to permit traffic ip accesslist extended aclInternetInpermit icmp any host 118542 echoreply permit icmp any host 118542 unreachable permit icmp any host 118542 sourcequench permit icmp any host 118542 redirect permit icmp any host 118542 echo permit icmp any host 118542 timeexceeded permit icmp any host 118542 parameterproblem permit icmp any host 118542 timestamprequest permit icmp any host 118542 timestampreply permit icmp any host 118542 informationrequest permit icmp any host 118542 informationreplyinterface FastEthernet00 ip address 118542 255255255192 ip accessgroup aclInternetin in duplex auto speed auto RVCE No accesslist is necessary since there is no security setup on this router by the way its wide open to all sorts of hacking in many waysAs to why your hoist cannot reach the internet while the router can you dont have any NAT setup Without it your hosts private IP address will pass unchanged via the router and your provider will not route private IP address rangesThe configuration details vary according to whether you want to simply allow outbound insideinitiated or inbound traffic RVCE I have the same issue I can reply with captured CLI info RVCE show runBuilding configurationCurrent configuration  2596 bytes Last configuration change at 153443 Central Tue Aug 29 2017version 154service timestamps debug datetime msecservice timestamps log datetime msecservice passwordencryptionhostname DNCEFbootstartmarkerbootendmarkerenable secret 5 no aaa newmodelclock summertime Central recurring last Sun Mar 100 last Sun Oct 200ip dhcp excludedaddress 19216830254ip dhcp pool INTERNET network 192168300 2552552550 defaultrouter 19216830254 dnsserver 19216820187 19216820254 8888 netbiosnameserver 19216830254 domainname 19216830254 lease 0 2ip nameserver 1952021282ip nameserver 1952021283ip nameserver 19216820254ip ceflogin onsuccess log every 12no ipv6 cefmultilink bundlename authenticatedcts logging verboselicense udi pid CISCO1921K9 snredundancyinterface EmbeddedServiceEngine00 no ip address shutdown interface GigabitEthernet00 ip address 19216830254 2552552550 ip nat inside ip nat enable ip virtualreassembly in duplex auto speed autointerface GigabitEthernet0021 ip nat inside ip virtualreassembly ininterface GigabitEthernet01 ip address 10111 2552552550 ip nat inside ip virtualreassembly in duplex auto speed autointerface GigabitEthernet010 ip address 19216820187 2552552550 ip nat outside ip nat enable ip virtualreassembly in duplex auto speed autoip defaultgateway 19216820254ip forwardprotocol ndno ip http serverno ip http secureserverip nat inside source list 3 interface GigabitEthernet010 overloadip route 0000 0000 19216820254accesslist 3 permit 19216800 000255accesslist 3 remark CCPACL Category2controlplanebanner motd CUnauthorized is prohibited You must contact the administrator for moredetails Please disconnect and call the local administratorCline con 0 exectimeout 20 30 password 7  logging synchronous loginline aux 0line 2 exectimeout 20 30 password 7  logging synchronous login no activationcharacter no exec transport preferred none transport output pad telnet rlogin lapbta mop udptn v120 ssh stopbits 1line vty 0 4 exectimeout 20 30 password 7  logging synchronous login transport input nonescheduler allocate 20000 1000endDNCEFshow ip routeCodes L  local C  connected S  static R  RIP M  mobile B  BGP D  EIGRP EX  EIGRP external O  OSPF IA  OSPF inter area N1  OSPF NSSA external type 1 N2  OSPF NSSA external type 2 E1  OSPF external type 1 E2  OSPF external type 2 i  ISIS su  ISIS summary L1  ISIS level1 L2  ISIS level2 ia  ISIS inter area   candidate default U  peruser static route o  ODR P  periodic downloaded static route H  NHRP l  LISP a  application route   replicated route   next hop overrideGateway of last resort is 19216820254 to network 0000S 00000 10 via 19216820254 19216820024 is variably subnetted 2 subnets 2 masksC 19216820024 is directly connected GigabitEthernet010L 1921682018732 is directly connected GigabitEthernet010 19216830024 is variably subnetted 2 subnets 2 masksC 19216830024 is directly connected GigabitEthernet00L 1921683025432 is directly connected GigabitEthernet00DNCEFshow ip arpProtocol Address Age min Hardware Addr Type InterfaceInternet 10111  885a926474a1 ARPA GigabitEthernet01Internet 1921682096 57 0024508e10c0 ARPA GigabitEthernet010Internet 19216820187  885a926474b0 ARPA GigabitEthernet010Internet 19216820254 0 c8d719243417 ARPA GigabitEthernet010Internet 192168301 0 34e6d70cf059 ARPA GigabitEthernet00Internet 19216830254  885a926474a0 ARPA GigabitEthernet00DNCEFping wwwyahoocomTranslating wwwyahoocomdomain server 19216820254 OKType escape sequence to abortSending 5 100byte ICMP Echos to 98139180149 timeout is 2 secondsSuccess rate is 100 percent 55 roundtrip minavgmax  404348 msDNCEFping 192168301Type escape sequence to abortSending 5 100byte ICMP Echos to 192168301 timeout is 2 secondsSuccess rate is 100 percent 55 roundtrip minavgmax  114 msDNCEF RVCE Hello RDGammYou have both domain and domainless nat enabled however that shouldn’t cause nat to fail it will just nat on the defined nat statement you specify However your accesslist encompass the outside interface ip range so try amending thatno accesslist 3accesslist 3 remark CCPACL Category2accesslist 3 permit 192168300 000255accesslist 3 permit 101100 000255resPaul Please dont forget to rate any posts that have been helpfulThanks RVCE Thanks That seems to have it up and working RVCE Hello try the configuration below changes and additions are marked in bold Current configuration  2596 bytes Last configuration change at 153443 Central Tue Aug 29 2017version 154service timestamps debug datetime msecservice timestamps log datetime msecservice passwordencryptionhostname DNCEFbootstartmarkerbootendmarkerenable secret 5 no aaa newmodelclock summertime Central recurring last Sun Mar 100 last Sun Oct 200ip dhcp excludedaddress 19216830254ip dhcp pool INTERNET network 192168300 2552552550 defaultrouter 19216830254 dnsserver 19216820187 19216820254 8888 netbiosnameserver 19216830254 domainname 19216830254 lease 0 2ip nameserver 1952021282ip nameserver 1952021283ip nameserver 19216820254ip ceflogin onsuccess log every 12no ipv6 cefmultilink bundlename authenticatedcts logging verboselicense udi pid CISCO1921K9 sredundancyinterface EmbeddedServiceEngine00 no ip address shutdown interface GigabitEthernet00 ip address 19216830254 2552552550 ip nat inside no ip nat enable ip virtualreassembly in duplex auto speed autointerface GigabitEthernet0021 ip nat inside ip virtualreassembly ininterface GigabitEthernet01 ip address 10111 2552552550 ip nat inside ip virtualreassembly in duplex auto speed autointerface GigabitEthernet010 ip address 19216820187 2552552550 ip nat outside no ip nat enable ip virtualreassembly in duplex auto speed autono ip defaultgateway 19216820254ip forwardprotocol ndno ip http serverno ip http secureserverip nat inside source list 100 interface GigabitEthernet010 overloadip route 0000 0000 19216820254accesslist 100 permit ip 10110 000255 anyaccesslist 100 permit ip 192168200 000255 anyaccesslist 100 permit ip 192168300 000255 anycontrolplanebanner motd C RVCE Thanks very helpful RVCE Hellogeorgaccesslist 100 permit ip 10110 000255 anyaccesslist 100 permit ip 192168200 000255 any  this isnt required as it the wan interface subnetaccesslist 100 permit ip 192168300 000255 any resPaul Please dont forget to rate any posts that have been helpfulThanks RVCE My WAN interface is Gi010 so it does matter in this case I may use the 20 network in a subinterface scenario R RVCE Hello you have the same problemcan you post the configuration of your router  In the initial post there is a mixup of NVI NAT and traditional NAT do you also have nat enable and ip nat inside configured on your interfaces  RVCE The interfaces Im using are Gi00 and Gi010 and I have NAT enabled on both From the router I can ping the Internet wwwyahoocom and I can ping my machine at 192168301 The machine at 192168301 can ping the router at 19216820187 but cannot get to the Internet
Router to BGP 2M ipv4 prefixes interfaces 40GB,Dear allCan you recommend a router  switch that would meet the following requirementsIPV4 prefixes  2 millionBGPInterfaces  min 2x40 minGB 8x10 Of course the price matters ,
How to control nameserver priority ,Id be surprised if there isnt a really simple solution but sofar I have not found itHow do I prioritise one ip nameserver entry over another Best I can figure they are prioritised in the order they are added to the config If I now attemp to resolve a FQDN you cant see it but the router pauses for 10 seconds as it attempts to resolve the FQDN using server 1111 which doesnt existThen it moves on to 8888 and immediately resolves it successfully A second ping is made to wwwcnncom this time the router only uses 8888 and immediately resolves the FQDN So the router can detect a failed nameserver and can remove it from its poolBut there does not seem to be a FailBack mechanism First lets reset our experiment Now lets give it these settings If I now try to resolve wwwgooglecom the same behaviour occurs I can now make 8844 accessible again by removing the bogus routeBut even though 8844 is now accessible the router is still only using 8888 for name resolution I let it sit there for maybe 30min to see if the failback has a long delay but sofar it is content ignoring 8844 for name resolution So whats the trick I need branch offices to use an internal DNS server over VPNMy solution seems overkill I wrote an SLA and a Tracking Object and an EEM I feel like Im forgetting something really basic,Hello DNS timeout is 3 seconds by default and the retry is 2 which amounts to about 10 seconds You can change that by configuring ip domain retry 0ip domain timeout 1 You can also configure ip domain roundrobin to change the search order to accomodate for load balancing RVCE Georg Pauwen wroteHelloDNS timeout is 3 seconds by default and the retry is 2 which amounts to about 10 seconds You can change that by configuringip domain retry 0ip domain timeout 1You can also configure ip domain roundrobin to change the search order to accomodate for load balancingHiEverything you say is of course correctBut Im looking for a tiny bit more controlI have some internalonly host names and some splitDNSSo for these the 1921681011 server will provide the correct answer while 8888 would notIf the VPN flutters I want my branch office to at least be able to use the internet using 8888 for DNSBut if the VPN comes back up I want my branch office to immediatly go back to using 1921681011 This could be easily achived if IOS allowed me to assign a priority to nameserversBut that does not appear to be a feature
Suppress and Unsuppress,Hi all i found a site where route aggregation is explained The config shows a 21 was created from the aggregated addresses after the command was executed the result was prefix that were suppressed was not advertised which is expected my question is what if i implement Unsuppress command instead of suppress with different approach it will yield same result right Thanks all,
Load balancing dual Internet dual Router,Hi expert guysIs it ok to use 2 internet on time with this topo If yes how could you do that simplest ,Hello Haits possible but the solution its very different depending on you design considerations likeis you WAN router peering with ISP with BGP are they injecting IGP default route core switches are stand alone or working as one unit etcIf you are looking for options I recommend you to look for documentation for Dual ISP load balancingNow consider if you need NAT that will elaborate the solution a little bit more httpssupportforumsciscocomt5securitydocumentsloadbalancingdualisponasatap3127108httpdocwikiciscocomwikiNATfailoverwithDUALISPonarouterConfigurationExamplehttpswwwciscocomcenussupportdocsipbordergatewayprotocolbgp1376240htmlhttpswwwciscocomcenustddocsios122sxfeatureguidefsxeibmphtmlhttpswwwciscocomcenussupportdocsipbordergatewayprotocolbgp2367527htmlhttpdocwikiciscocomwikiPfRSolutionsInternetInboundLoadBalancing CCIE 52804 RVCE Thank manMy case is simple No BGP with ISP just NAT Core switches are stackable so they combine into 1 swtichI consider an other topoWhat is better in your opinion 
Cisco 1941 NAT help,Dear all I am not an expert Below is my configuration There are few issues  1 static NAT is not working2 some client cant able to access internet eventhouh they are in permit client list permit rang Can anyone help me with this  Thanks in advance interface GigabitEthernet00 description WANLINK ip address xxxxxxxxx146 255255255240 ip nat enable ip virtualreassembly duplex auto speed autointerface GigabitEthernet01 description INSIDELAN ip address 19216810101 2552552550 ip nat enable ip virtualreassembly duplex auto speed autono ip forwardprotocol ndno ip http serverno ip http secureserverip nat pool dynamicip xxxxxxxxx146 xxxxxxxxx146 netmask 255255255240ip nat source list clientlist interface GigabitEthernet00 overloadip nat source static 19216810102 xxxxxxxxx147ip nat source static 19216810103 xxxxxxxxx148ip nat source static 19216810104 xxxxxxxxx149ip nat source static 19216810105 xxxxxxxxx150ip nat source static 19216810106 xxxxxxxxx151ip nat source static 19216810107 xxxxxxxxx152ip nat source static 19216810108 xxxxxxxxx153ip route 0000 0000 xxxxxxxxx145ip accesslist standard clientlist permit 19216810115 000140controlplaneline con 0line aux 0line vty 0 4 password 7 130C07131F5D56796F loginscheduler allocate 20000 1000end Solved Go to Solution,HelloIt could have been possibly down to your default static route As at present the router will think any off site address is directly connected and arp for its mac Suggest you change it to include a nexthop ip address to save unwarrented arp requestsno ip route 0000 0000 GigabitEthernet00ip route 0000 0000 GigabitEthernet00 xxxx nexthop addressresPaul Please dont forget to rate any posts that have been helpfulThanks RVCE Hello not sure if this is a typo  ip accesslist standard clientlist permit 19216810115 000140 140 does not exist try 63 or 127or 255 RVCE Hi sorry That is a typois the correct setting in router ip accesslist standard clientlist permit 192168100 000255 Why the static nat is not working  Thank you RVCE Hello remove the line ip nat pool dynamicip xxxxxxxxx146 xxxxxxxxx146 netmask 255255255240 from your configuration as this is not in use Also change you default route to ip route 0000 0000 xxxxxxxxx GigabitEthernet00 RVCE Hello also make sure that you have no ip redirects configured on your router RVCE HiAt first thank you very much for helping me below is my new settings user can access internet but static nat is not working but only one is working finei cant find where to apply no ip redirect ip nat source static 19216810108 xxxxxxxxx153  this is working no aaa newmodelno ipv6 cefip sourcerouteip cefno ip domain lookupmultilink bundlename authenticated interface GigabitEthernet00 description WANLINK ip address xxxxxxxxx146 255255255240 ip nat outside  enabled this ip nat enable ip virtualreassembly duplex auto speed auto interface GigabitEthernet01 description INSIDELAN ip address 19216810101 2552552550 ip nat inside  enabled this ip nat enable ip virtualreassembly duplex auto speed autono ip forwardprotocol ndno ip http serverno ip http secureserverip nat source list clientlist interface GigabitEthernet00 overloadip nat source static 19216810102 xxxxxxxxx147ip nat source static 19216810103 xxxxxxxxx148ip nat source static 19216810104 xxxxxxxxx149ip nat source static 19216810105 xxxxxxxxx150ip nat source static 19216810106 xxxxxxxxx151ip nat source static 19216810107 xxxxxxxxx152ip nat source static 19216810108 xxxxxxxxx153  this is workingip route 0000 0000 GigabitEthernet00ip accesslist standard clientlist permit 192168100 000255 RVCE Hello first of all remove ip nat inside and ip nat outside these wont work with your current configyration Ill check why the static NAT is only working for one entry Can you post the output of show version  Just to check for bugs in your IOS RVCE Thank you Please find below show versionCisco IOS Software C1900 Software C1900UNIVERSALK9M Version 1501M6 RELEASE SOFTWARE fc1Compiled Wed 01Jun11 1531 by prodrelteamROM System Bootstrap Version 1501rM9 RELEASE SOFTWARE fc1System returned to ROM by reload at 095108 UTC Mon Aug 28 2017System restarted at 095221 UTC Mon Aug 28 2017System image file is flash0c1900universalk9mzSPA1501M6binLast reload type Normal ReloadLast reload reason Reload Command Cisco CISCO1941K9 revision 10 with 491520K32768K bytes of memoryProcessor board ID FTX1519800H2 Gigabit Ethernet interfacesDRAM configuration is 64 bits wide with parity disabled255K bytes of nonvolatile configuration memory254464K bytes of ATA System CompactFlash 0 ReadWrite3669512K bytes of ATA CompactFlash 1 ReadWrite Technology Package License Information for Modulec1900Technology Technologypackage Technologypackage Current Type Next rebootipbase ipbasek9 Permanent ipbasek9security None None Nonedata datak9 Permanent datak9Configuration register is 0x2102 RVCE Hello I found a bug that is related to static NAT and ARP resolution with NVI NAT that is what you currently have configured The workaround is to add a static ARP entry for the translated address 1941configarp xxxxxxxxx152 hhhhhh were hhhhhh is the MAC address of the device If you cannot get this to work try the traditional NAT the config is below interface GigabitEthernet00 description WANLINK ip address xxxxxxxxx146 255255255240 ip nat outside ip virtualreassembly duplex auto speed auto interface GigabitEthernet01 description INSIDELAN ip address 19216810101 2552552550 ip nat inside ip virtualreassembly duplex auto speed auto no ip forwardprotocol ndno ip http serverno ip http secureserver ip nat inside source list clientlist interface GigabitEthernet00 overloadip nat inside source static 19216810102 xxxxxxxxx147ip nat inside source static 19216810103 xxxxxxxxx148ip nat inside source static 19216810104 xxxxxxxxx149ip nat inside source static 19216810105 xxxxxxxxx150ip nat inside source static 19216810106 xxxxxxxxx151ip nat inside source static 19216810107 xxxxxxxxx152ip nat inside source static 19216810108 xxxxxxxxx153ip route 0000 0000 GigabitEthernet00ip accesslist standard clientlist permit 192168100 000255 RVCE Hi Thanks same results too My current settings ip nat inside source list 100 interface GigabitEthernet00 overloadip nat inside source static 19216810102 xxxxxxxxx147ip nat inside source static 19216810103 xxxxxxxxx148ip nat inside source static 19216810104 xxxxxxxxx149ip nat inside source static 19216810105 xxxxxxxxx150ip nat inside source static 19216810106 xxxxxxxxx151ip nat inside source static 19216810107 xxxxxxxxx152ip nat inside source static 19216810108 xxxxxxxxx153ip route 0000 0000 GigabitEthernet00accesslist 100 permit tcp any anyaccesslist 100 permit udp any any butshow ip nat trans udp is workingshow ip nat trans tcp is showing any translation Regards RVCE Hello NAT doesnt like any any access lists so change access list 100 to simply accesslist 100 permit ip 19216810 0 000255 any That said can you check with your ISP if they are actually routing all those addresses you are using in your static NAT to you correctly  One thing you could do is to replace your WAN IP address with any of those other addresses from the block that has been assigned to you That way you know the addresses are properly routed Any of them should establish connectivity with your ISP RVCE Hi Thanks Below my new settings its not working still Yes i have tried changing ip address also from 146 to 153 no luck  Is it possible to disable ARP completly to get NAT NVI to work Same settings working in Cisco 1841 ofcourse with ios version 120 interface GigabitEthernet00 description WANLINK ip address xxxxxxxxx146 255255255240 ip nat outside ip virtualreassembly duplex auto speed auto no mop enabledinterface GigabitEthernet01 description INSIDELAN ip address 19216810101 2552552550 ip nat inside ip virtualreassembly duplex auto speed auto no mop enabledno ip forwardprotocol ndno ip http serverno ip http secureserverip nat inside source list 100 interface GigabitEthernet00 overloadip nat inside source static 19216810102 xxxxxxxxx147ip nat inside source static 19216810103 xxxxxxxxx148ip nat inside source static 19216810104 xxxxxxxxx149ip nat inside source static 19216810105 xxxxxxxxx150ip nat inside source static 19216810106 xxxxxxxxx151ip nat inside source static 19216810107 xxxxxxxxx152ip nat inside source static 19216810108 xxxxxxxxx153ip route 0000 0000 GigabitEthernet00accesslist 100 permit ip 192168100 000255 any RVCE Hi I really dont know what is the difference between below setting and my initial excep the changes u have asked me to do all of sudden it start working now Only think what i did was added a ARP entry but was not working and set no arp xxxxxxxxxxxx hhhh arpa Thank you once again no aaa newmodelno ipv6 cefip sourcerouteip cefno ip domain lookupmultilink bundlename authenticatedinterface GigabitEthernet00 description WANLINK ip address xxxxxxxxx146 255255255240 ip nat enable ip virtualreassembly duplex auto speed auto no shut interface GigabitEthernet01 description INSIDELAN ip address 19216810101 2552552550 ip nat enable ip virtualreassembly duplex auto speed auto no shut no ip forwardprotocol ndno ip http serverno ip http secureserverip nat source list clientlist interface GigabitEthernet00 overloadip nat source static 19216810102 xxxxxxxxx147ip nat source static 19216810103 xxxxxxxxx148ip nat source static 19216810104 xxxxxxxxx149ip nat source static 19216810105 xxxxxxxxx150ip nat source static 19216810106 xxxxxxxxx151ip nat source static 19216810107 xxxxxxxxx152ip nat source static 19216810108 xxxxxxxxx153ip route 0000 0000 GigabitEthernet00ip accesslist standard clientlist permit 192168100 000255 RVCE Hello it might have been the bug I mentioned earlier and the ARP entry have needed to clear Either way you got it working now  RVCE HelloIt could have been possibly down to your default static route As at present the router will think any off site address is directly connected and arp for its mac Suggest you change it to include a nexthop ip address to save unwarrented arp requestsno ip route 0000 0000 GigabitEthernet00ip route 0000 0000 GigabitEthernet00 xxxx nexthop addressresPaul Please dont forget to rate any posts that have been helpfulThanks
ap password,HiI was going to reset the router config and instead did it while in the ap So when I try to get to it it starts off in ap instead of ap when it try doing ap en it always asks for a password 3 times and it is not the default cisco password Anyway I can fix this or do I need to reset the routerIm using a 1941w router thank you Solved Go to Solution,Hellotry Cisco or cisco as the passwordresPaul Please dont forget to rate any posts that have been helpfulThanks RVCE Hello have you tried no password just enter at the prompt  Depending on your IOS version you might be able to get HTTP access type the LAN IP address of your router into a web browser RVCE Hellotry Cisco or cisco as the passwordresPaul Please dont forget to rate any posts that have been helpfulThanks RVCE It is usually Cisco also you can try just pressing enter
max speed fibre supported by Cisco RV134W,good eveningi started this discussion for to have confirm if the Cisco RV134W VDSL2 is able to support a fibre vdsl of 500 Mbps download  250 Mbps uploadon datasheet httpswwwciscocomcenusproductscollateralrouterssmallbusinessrvseriesroutersdatasheetc78736465html is reported to be a VDSL2  VDSL2 suit max 300 Mbps  but at row NAT throughput is 750 Mbps Ethernet WANGreetings,
IOS XR extcommunityset cost igp vs prebestpath,HI thereI want to change the extcommunity cost prebestpath cost that is comming from a EIGRP route when received in BGP so that an eBGP path is preferred over the vpnv4 bgp path I have IOS XR and I am not sure if I can just adjust the prebestpath parameter or if I should change the igp poi as well I read the following postThe POI indicates when in the BGP best path selection process the cost community is taken in consideration There is only two choices for the value of the POI Routerconfigroutemapset extcommunity cost 0255 Community IDigp Compare following IGP cost comparisonprebestpath Compare before all other steps in bestpath calculation Routerconfigroutemapset extcommunity cost So as you can see it can be either compared before everything else prebestpath or right after the IGP cost comparison igp So I think prebestpath is enough Can you please confirm This is what I am thinkingprefixset VRFAAAEIGRPTEST 101017432endsetextcommunityset cost NEWEXTCOMMCOST PreBestpath01500endsetroutepolicy VRFAAATOBGPINTEST if destination in VRFAAAEIGRPTEST then set extcommunity cost NEWEXTCOMMCOST endifendpolicy With this Policy will COST1281292842 look as COST01500 or should I change the IGP in the extcommunityset  If so how ASRROUTERsh bgp vrf VRFAAA 1010174Tue Aug 29 204327110 CESTBGP routing table entry for 101017429 Route Distinguisher 21710162020017Versions Process bRIBRIB SendTblVer Speaker 2352257 2352257Last Modified Jul 11 063643715 for 1y07wPaths 1 available best 1 Not advertised to any peer Path 1 Received by speaker 0 Not advertised to any peer Local received  used 192168101 metric 30 from 217101641 192168101 Received Label 21665 Origin incomplete metric 2842 localpref 500 valid internal best groupbest importcandidate imported Received Path ID 0 Local Path ID 1 version 2352257 Extended community COST1281292842 EIGRP routeinfo0x01214 EIGRP AD25384538 EIGRP RHB25522304 EIGRP LM0xff11500 EIGRP AR2538485892497 EIGRP PM90 RT2538420017 Originator 192168101 Cluster list 217101641 Source AFI VPNv4 Unicast Source VRF default Source Route Distinguisher 19216810120017 Thanks in advance,
Inter Vlan Routing Without Router,Dear Team Only ip roting enable the intarvlan routinmg with routerIf by this command it is possible then why we use router RegradsBrijendra Solved Go to Solution,HelloIntervlan routing is usually applied on a L3 capable switch to allow communication between different vlans on your network intervlan routing meaning the switch is able of perform routing functions just like a physical router can do However the L3 switch can also be just a HOST switch or access layer switch meaning if it doesn’t have to perform any routing then you can you disable ip routingresPaul Please dont forget to rate any posts that have been helpfulThanks RVCE Hi Its too enable ip routing on a switch that is L3 capable but L3 switches cant do things like NAT which a router can so there are limitations doing routing on L3 switch compared to an actual router  also a router would process traffic faster than an L3 switch usually L3 switch wont generally have wan type ports either or except wan modules  packet forwarding on routers is in software compared to ASIC on switches  switches dont support all version and styles of QOS either compared to routers these are just some of the known differences of why you might require router over an L3 switch RVCE HelloIntervlan routing is usually applied on a L3 capable switch to allow communication between different vlans on your network intervlan routing meaning the switch is able of perform routing functions just like a physical router can do However the L3 switch can also be just a HOST switch or access layer switch meaning if it doesn’t have to perform any routing then you can you disable ip routingresPaul Please dont forget to rate any posts that have been helpfulThanks RVCE Daer Paul Sir Can you please tell the command so that i test in packet tracer RegardsBrijendra RVCE Hi Its too enable ip routing on a switch that is L3 capable but L3 switches cant do things like NAT which a router can so there are limitations doing routing on L3 switch compared to an actual router  also a router would process traffic faster than an L3 switch usually L3 switch wont generally have wan type ports either or except wan modules  packet forwarding on routers is in software compared to ASIC on switches  switches dont support all version and styles of QOS either compared to routers these are just some of the known differences of why you might require router over an L3 switch
Can I Delay eBGP Peering,HelloIs it possible to delay an eBGP peering I have several sites with redundant ASR1006 routers that seem to take up 30 seconds to complete their GetVPN registration after a reload Since BGP becomes active placing the router in the forwarding path long before GetVPN registration is complete any traffic that attempts to traverse that linkrouter is dropped This also occurs at sites where the Key Servers are local and reachable via LAN connectivity As all sites have redundant routers a newly reloaded router would be able to reach a Key Server without depending upon the BGP routes being learned so I would like to find a way to delay the BGP peering reestablishment after it has been lost due to a circuit failure or router reload for 30  60 seconds to allow GetVPN registration to completeThanks,Hi I am not sure if you can alter the bgp phases from idle to established but you delay the routing advertisement neighbor xxxx advertisementinterval xx httpswwwciscocomcenustddocsiosiproutebgpcommandreferenceirgbookirgbgp3html HTH RVCE I dont know how to delay the relationship forming but you could increasing the BGP timers for it to take longer to declare a neighbour as dead RVCE Hello in addition to the other posts and I dont know if that is feasible in your particular situation you could use two EEM applets one that removes the eBGP neigbhor when the link is down and puts it back into the configuration when the link is up The second action is delayed by 30 seconds This would generically look like below in the example the event timer countdown is 30 seconds which means the eBGP neighbor will be added 30 seconds after the link has been up event manager applet removebgpevent syslog pattern LINK3UPDOWN Interface FastEthernet0 changed state to downaction 11 cli command enableaction 12 cli command config taction 13 cli command router bgp 1action 14 cli command no neighbor 19216812 remoteas 2action 15 cli command endaction 16 cli command wr mem event manager applet delaybgpevent syslog pattern LINK3UPDOWN Interface FastEthernet0 changed state to upaction 10 cli command event timer countdown time 30action 11 cli command enableaction 12 cli command config taction 13 cli command router bgp 1action 14 cli command neighbor 19216812 remoteas 2action 15 cli command endaction 16 cli command wr mem RVCE event manager applet delaybgpevent syslog pattern LINK3UPDOWN Interface FastEthernet0 changed state to upaction 14 cli command neighbor 19216812 remoteas 2 event manager applet removebgpevent syslog pattern LINK3UPDOWN Interface FastEthernet0 changed state to downaction 14 cli command no neighbor 19216812 remoteas 2 If you replace action 14s with no neighbot 19216812 shutdown and neighbor 19216812 shutdownthat this would be a safer way to do it since you dont lose any further manipulation of bGP on your peers such as activation routemaps filterlists etc best regards tim RVCE Thanks to everyone for the replies I am looking into the EEM script now but for some reason the delay function doesnt see to be working I need to test more but the EEM options seems like it might work for what I need to accomplish
